,date,format,deck,wins,games
101,2023-06-21,LTR,Naya (RGW) + Splash,36,81
102,2023-06-21,LTR,Bant (GWU) + Splash,32,80
103,2023-06-21,LTR,Four-color,16,36
104,2023-06-21,LTR,Four-color + Splash,18,40
105,2023-06-21,LTR,Five-color,0,0
106,2023-06-22,LTR,Mono-White,3,9
107,2023-06-22,LTR,Mono-Blue,7,26
108,2023-06-22,LTR,Mono-Black,35,58
109,2023-06-22,LTR,Mono-Red,7,9
110,2023-06-22,LTR,Mono-Green,0,0
111,2023-06-22,LTR,Mono-White + Splash,12,26
112,2023-06-22,LTR,Mono-Blue + Splash,28,62
113,2023-06-22,LTR,Mono-Black + Splash,84,142
114,2023-06-22,LTR,Mono-Red + Splash,11,20
115,2023-06-22,LTR,Mono-Green + Splash,30,44
116,2023-06-22,LTR,Azorius (WU),661,1227
117,2023-06-22,LTR,Dimir (UB),1440,2570
118,2023-06-22,LTR,Rakdos (BR),4335,7037
119,2023-06-22,LTR,Gruul (RG),380,685
120,2023-06-22,LTR,Selesnya (GW),705,1412
121,2023-06-22,LTR,Orzhov (WB),2200,3746
122,2023-06-22,LTR,Golgari (BG),730,1231
123,2023-06-22,LTR,Simic (GU),652,1371
124,2023-06-22,LTR,Izzet (UR),1887,3310
125,2023-06-22,LTR,Boros (RW),1938,3365
126,2023-06-22,LTR,Azorius (WU) + Splash,174,353
127,2023-06-22,LTR,Dimir (UB) + Splash,488,942
128,2023-06-22,LTR,Rakdos (BR) + Splash,742,1337
129,2023-06-22,LTR,Gruul (RG) + Splash,183,328
130,2023-06-22,LTR,Selesnya (GW) + Splash,389,769
131,2023-06-22,LTR,Orzhov (WB) + Splash,388,755
132,2023-06-22,LTR,Golgari (BG) + Splash,385,745
133,2023-06-22,LTR,Simic (GU) + Splash,368,750
134,2023-06-22,LTR,Izzet (UR) + Splash,442,862
135,2023-06-22,LTR,Boros (RW) + Splash,189,364
136,2023-06-22,LTR,Jeskai (WUR),47,95
137,2023-06-22,LTR,Sultai (UBG),62,136
138,2023-06-22,LTR,Mardu (BRW),117,235
139,2023-06-22,LTR,Temur (RGU),37,75
140,2023-06-22,LTR,Abzan (GWB),248,477
141,2023-06-22,LTR,Esper (WUB),82,189
142,2023-06-22,LTR,Grixis (UBR),311,554
143,2023-06-22,LTR,Jund (BRG),95,180
144,2023-06-22,LTR,Naya (RGW),83,173
145,2023-06-22,LTR,Bant (GWU),100,207
146,2023-06-22,LTR,Jeskai (WUR) + Splash,6,17
